tile,ch,gain_dB
A06,0,0.0
E06,0,0.0
G08,0,0.0
C09,1,0.0
D07,0,71.82842285941763
F10,0,0.0
A09,0,0.0
C06,1,0.0
F05,0,0.0
F09,1,0.0
E10,0,0.0
B06,0,0.0
D10,0,0.0
G05,1,0.0
B08,0,0.0
F06,1,0.0
D05,0,0.0
E08,0,0.0
B10,1,0.0
A08,0,0.0
A05,0,0.0
D08,0,64.2189771079403
C10,1,0.0
G10,1,0.0
F08,0,0.0
C08,0,63.837703908717835
E05,0,0.0
B07,1,0.0
G06,0,70.6734991993169
C05,1,0.0
G07,0,0.0
A10,0,0.0
D09,1,0.0
A07,1,0.0
B05,1,0.0
E07,0,0.0
G09,1,0.0
B09,1,0.0
D06,1,0.0
E09,1,0.0
C07,1,0.0
F06,0,0.0
A08,1,74.03628350119408
B09,0,0.0
F07,1,0.0
B10,0,0.0
A06,1,72.16028942961509
A07,0,0.0
B07,0,0.0
C07,0,65.77181385459082
F05,1,0.0
D06,0,0.0
A09,1,0.0
B06,1,0.0
F09,0,0.0
F07,0,0.0
F10,1,0.0
B05,0,0.0
B08,1,0.0
E08,1,0.0
G06,1,66.3350106545732
C08,1,0.0
F08,1,0.0
D09,0,0.0
G10,0,0.0
G05,0,0.0
G08,1,74.2151968558872
A10,1,0.0
C06,0,0.0
G09,0,0.0
E09,0,0.0
